cohort,cancer,source,target,a,lcb,expected
full,icd_205,icd_288,icd_284,3.6776920923616756,3.6332284861106356,5.954572616528253
full,icd_205,icd_284,icd_999,3.2200007183527095,3.126978360119687,0.5978148409850803
full,icd_205,icd_999,icd_284,2.5401617763010145,2.3374850633969997,0.9057940562149369
full,icd_205,icd_284,icd_289,1.5549474192907529,1.3179362615116728,0.5410396353546574
full,icd_205,icd_289,icd_284,2.6245591663825567,2.4797527277751805,1.6457871374968533
full,icd_205,icd_284,icd_283,4.374392601621874,4.250332856520079,0.5451804637675295
full,icd_205,icd_283,icd_284,4.394711411041502,4.285218756337634,0.4974195067339551
full,icd_205,icd_284,icd_287,2.92131996509746,2.784785780276489,1.5316888883450304
full,icd_205,icd_287,icd_284,3.924402298658053,3.8797818867814025,4.65387666235074
full,icd_205,icd_284,icd_273,2.046824143655118,1.877226086271228,1.5800766772317019
full,icd_205,icd_273,icd_284,1.8712683512627113,1.6118236755338915,1.0307213169215856
full,icd_205,icd_V42,icd_284,1.3535422997324835,0.8721102531568956,0.523048594449083
full,icd_205,icd_288,icd_999,2.42991166837265,2.355646044821753,2.106437120486362
full,icd_205,icd_999,icd_288,1.7532712344417003,1.6392662828193056,3.0452961629912068
full,icd_205,icd_288,icd_289,1.8050800604422845,1.7382138317271063,5.394775018208861
full,icd_205,icd_289,icd_288,2.3178884655266603,2.26749772127965,8.943977436761656
full,icd_205,icd_288,icd_283,2.694249325720184,2.453049557989971,0.7888175741426124
full,icd_205,icd_283,icd_288,1.6901358372913187,1.2710096868752014,0.24574402706340237
full,icd_205,icd_288,icd_287,2.8101464157582696,2.754863288525599,10.64147073840877
full,icd_205,icd_287,icd_288,1.985647228142733,1.906232366199048,4.945003350704951
full,icd_205,icd_288,icd_273,1.9440968108991792,1.8760035909210035,11.070760572608833
full,icd_205,icd_273,icd_288,1.6799273928384555,1.599478382105072,6.2861572946417255
full,icd_205,icd_V42,icd_288,0.9953240715633548,0.8189296681220741,2.699679225067257
full,icd_205,icd_999,icd_289,1.288955822720247,1.125224068922314,1.5276550240548303
full,icd_205,icd_289,icd_999,1.7888285127487555,1.6286441556722009,0.8790680298008837
full,icd_205,icd_999,icd_283,3.0730173037269055,2.831662315357162,0.5466070425148573
full,icd_205,icd_999,icd_287,1.1848665231290052,0.7744556980957594,0.9939247132670914
full,icd_205,icd_287,icd_999,1.2793387974290373,0.9779348074336249,0.40708068706253187
full,icd_205,icd_999,icd_273,0.9430911721151298,0.6723145210015371,1.9304037669414242
full,icd_205,icd_273,icd_999,1.2720379608430215,1.0454867070211942,0.6974299643607651
full,icd_205,icd_V42,icd_999,1.1624096533008308,0.8828839406642361,0.5322753125947273
full,icd_205,icd_289,icd_283,3.1853068065403813,3.017609212096591,1.0212519224139172
full,icd_205,icd_283,icd_289,2.383849505007121,2.1947770145208407,0.3924680803082481
full,icd_205,icd_289,icd_287,2.6239353914820316,2.5482736508991386,6.998809718819189
full,icd_205,icd_287,icd_289,2.2810902888639064,2.2277381250307355,5.302995931555699
full,icd_205,icd_289,icd_273,1.6188081232013105,1.5117083535898055,6.335764850713531
full,icd_205,icd_273,icd_289,1.3222866522900978,1.2184377880841955,3.508400444960671
full,icd_205,icd_283,icd_287,3.4085937377492534,3.2553199291185573,0.7895485253603738
full,icd_205,icd_287,icd_283,4.609109956973837,4.563460315418802,3.268957361838943
full,icd_205,icd_283,icd_273,2.1270856921095236,1.8410562246154474,0.5421545051062537
full,icd_205,icd_273,icd_283,1.483910179347782,0.7084834569471921,0.2478240447314306
full,icd_205,icd_287,icd_273,1.6374870861652837,1.518654218675424,4.97551359973221
full,icd_205,icd_273,icd_287,1.1676158974681432,0.8938024810620246,2.1700526676238496
